,kcat,data_type,MW,kcat_MW
FACOAE141,6455.7993281475,fill,125712.95000000004,184872.58139540115
FACOAE160,52.842999999999996,Other_species,125712.95000000004,1513.2474418904333
FACOAE161,6455.7993281475,fill,125712.95000000004,184872.58139540115
FACOAE180,52.842999999999996,Other_species,125712.95000000004,1513.2474418904333
FACOAE181,6455.7993281475,fill,125712.95000000004,184872.58139540115
FACOAE60,6455.7993281475,fill,125712.95000000004,184872.58139540115
FACOAE80,6455.7993281475,fill,125712.95000000004,184872.58139540115
FACOAL100t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL120t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL140_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL140_ISO_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL140t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL141t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL150_anteiso_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL150_ISO_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL160_num1,0.029,Other_species,60326.06050000018,1.7305953535619931
FACOAL160_ISO_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL160t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL161_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL161t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL170_anteiso_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL170_ISO_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL180_num1,0.029,Other_species,60326.06050000018,1.7305953535619931
FACOAL180_2_num1,0.029,Other_species,60326.06050000018,1.7305953535619931
FACOAL180t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL181_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL181t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL200_num1,6455.7993281475,fill,60326.06050000018,385254.355890369
FACOAL40It2pp,6455.7993281475,fill,55890.65170000009,415827.6361864459
FACOAL40t2pp,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL50It2pp,6455.7993281475,fill,55890.65170000009,415827.6361864459
FACOAL60t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FACOAL80_num1,0.029,Other_species,60326.06050000018,1.7305953535619931
FACOAL80t2pp_num1,6455.7993281475,fill,70463.46680000026,329828.7557621408
FADMQOR_num1,6455.7993281475,fill,27035.228699999985,859651.5990016764
FADRx,47.87541538461539,Other_species,118448.09230000076,1455.0803819456219
FADRx2,33.05522,Other_species,118448.09230000076,1004.6492914263613
FALDH2_num1,36.082988620689655,Other_species,219080.44080000024,592.927230564905
FAO1_num1,6455.7993281475,fill,43507.19700000007,534184.6679143904
FAO10,6455.7993281475,fill,195408.18460000053,118935.02633426
FAO11_num1,6455.7993281475,fill,43507.19700000007,534184.6679143904
FAO2_num1,6455.7993281475,fill,43507.19700000007,534184.6679143904
FAO3_num1,6455.7993281475,fill,43507.19700000007,534184.6679143904
FAS100_num1,41.4,Other_species,15013.961799999986,9926.760303865974
FAS120_num1,41.4,Other_species,15013.961799999986,9926.760303865974
FAS140_num1,41.4,Other_species,15013.961799999986,9926.760303865974
FAS160_num1,41.4,Other_species,15013.961799999986,9926.760303865974
FAS161_num1,6455.7993281475,fill,15013.961799999986,1547951.0265792087
FAS180_num1,41.4,Other_species,15013.961799999986,9926.760303865974
FAS181_num1,6455.7993281475,fill,15013.961799999986,1547951.0265792087
FAS200_num1,6455.7993281475,fill,15013.961799999986,1547951.0265792087
FAS80_L_num1,18.705283333333334,Other_species,15013.961799999986,4485.0933349251
FASC120ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASC140ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASC141ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASC160ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASC161ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASC180ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASC181ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASC200ACP_num1,6455.7993281475,fill,151130.46720000013,153780.22718989506
FASm220,6455.7993281475,fill,34491.839700000026,673808.0016454149
FASm240,6455.7993281475,fill,34491.839700000026,673808.0016454149
FASm260,6455.7993281475,fill,34491.839700000026,673808.0016454149
FASm280,6455.7993281475,fill,34491.839700000026,673808.0016454149
FBA_num1,11.455454545454545,Other_species,28866.36269999999,1428.639859902972
FBP,21.77470588235294,Other_species,72681.7706000001,1078.5227235021496
FDH_num1,46.308,Other_species,84944.00100000051,1962.5729661591874
FDH7_num1,6455.7993281475,fill,84944.00100000051,273602.3416336471
FDMO_num1,0.8275,Other_species,33456.260100000014,89.0416320023767
FDMO1,6455.7993281475,fill,36371.104000000036,638992.9099026243
FDMO_1,6455.7993281475,fill,36371.104000000036,638992.9099026243
FDMO2_num1,0.8275,Other_species,33456.260100000014,89.0416320023767
FDMO2_1,6455.7993281475,fill,36371.104000000036,638992.9099026243
FDMO3_num1,6455.7993281475,fill,33456.260100000014,694664.5414599401
FDMO3_1,6455.7993281475,fill,36371.104000000036,638992.9099026243
FDMO4_num1,0.8275,Other_species,33456.260100000014,89.0416320023767
FDMO4_1,6455.7993281475,fill,36371.104000000036,638992.9099026243
FDMO6_num1,6455.7993281475,fill,33456.260100000014,694664.5414599401
FDMO6_1,6455.7993281475,fill,36371.104000000036,638992.9099026243
FDMOtau_num1,6455.7993281475,fill,33456.260100000014,694664.5414599401
FE2abcpp_num1,6455.7993281475,fill,120191.37680000003,193365.59909787966
